id_venta;producto;cantidad;precio_unitario;fecha;cliente
47;Smartphone;4;250;2025-03-03;Marta Sánchez
62;Laptop;1;150;2025-03-29;Carlos Ruiz
89;Laptop;5;1200;2025-03-01;Carlos Ruiz
16;Smartphone;5;300;2025-03-06;Elena Fernández
73;Smartwatch;5;700;2025-03-03;Javier Martínez
42;TV;5;150;2025-03-30;Laura Díaz
59;Laptop;2;1200;2025-03-01;Carlos Ruiz
49;Smartphone;2;300;2025-03-09;Susana López
80;Laptop;4;250;2025-03-23;Carlos Ruiz
58;Smartphone;3;700;2025-03-28;Susana López
33;Laptop;5;300;2025-03-29;Laura Díaz
86;TV;2;150;2025-03-26;Carlos Ruiz
60;Smartphone;4;1200;2025-03-20;Javier Martínez
64;Smartphone;1;300;2025-03-23;Susana López
78;Laptop;3;1200;2025-03-15;Susana López
38;Smartwatch;4;700;2025-03-17;Carlos Ruiz
30;Laptop;2;700;2025-03-01;Juan Pérez
2;Smartwatch;1;300;2025-03-08;Javier Martínez
53;Laptop;4;700;2025-03-17;Pedro López
22;Smartwatch;3;300;2025-03-27;Laura Díaz
3;Tablet;3;150;2025-03-07;Susana López
24;TV;3;150;2025-03-02;David Rodríguez
84;Smartwatch;4;150;2025-03-10;Juan Pérez
75;Smartwatch;3;150;2025-03-14;Laura Díaz
83;Smartwatch;2;1200;2025-03-27;Carlos Ruiz
21;Smartphone;1;250;2025-03-08;Javier Martínez
61;Smartphone;1;300;2025-03-31;David Rodríguez
72;Smartwatch;1;700;2025-03-26;Juan Pérez
15;Laptop;1;700;2025-03-30;Juan Pérez
52;Laptop;5;150;2025-03-29;Elena Fernández
